frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
49,14,[642.20 276.00 692.80 322.00],,,,
49,29,[496.00 298.20 535.20 355.80],,,,
49,35,[355.80 264.60 433.20 315.40],,,,
50,2,[694.67 267.67 815.67 378.33],"[738.3815116882324, 326.2548942565918, 775.4455184936523, 339.51029205322266]",0.7376186847686768,CA51REX2Y,0.7041789293289185
50,14,[640.00 276.40 690.80 323.20],,,,
50,29,[492.00 299.60 531.60 357.20],,,,
50,35,[348.00 264.80 426.20 316.20],,,,
51,2,[696.75 266.75 820.25 380.50],[738.15 326.85 775.40 340.14],0.0,CA51REX2Y,0.7041789293289185
51,14,[637.80 276.60 688.80 324.60],,,,
51,29,[488.20 300.20 528.40 358.20],,,,
51,35,[341.00 264.80 418.40 316.40],,,,
52,2,[696.75 266.75 820.25 380.50],"[737.9212760925293, 327.44439697265625, 775.3584671020508, 340.76172637939453]",0.7376191020011902,CA51REX2Y,0.5457056164741516
52,14,[635.80 276.80 686.80 325.80],,,,
52,29,[484.40 301.20 525.00 359.40],,,,
52,35,[335.40 264.80 411.20 316.40],,,,
52,38,[419.00 265.50 460.50 302.00],,,,
53,14,[634.40 277.00 685.40 327.00],,,,
53,29,[480.80 302.00 521.60 360.40],,,,
53,35,[309.00 264.00 389.40 319.40],,,,
53,37,[122.00 276.00 183.00 338.00],,,,
54,14,[633.60 276.80 684.60 328.00],,,,
54,29,[477.20 302.80 518.20 361.20],,,,
54,35,[282.00 263.00 367.00 322.40],,,,
55,14,[633.20 276.60 684.00 329.00],,,,
55,29,[473.80 303.60 515.40 362.00],,,,
56,14,[633.00 276.40 683.40 329.80],,,,
56,29,[470.40 304.20 513.00 363.00],,,,
56,34,[336.25 260.50 387.25 295.50],,,,
57,14,[633.20 276.00 683.00 330.40],,,,
57,29,[466.60 303.60 510.80 363.40],,,,
57,34,[336.25 260.50 387.25 295.50],,,,
58,14,[633.40 275.40 682.40 330.80],,,,
58,29,[462.40 302.60 508.80 363.80],,,,
58,34,[320.33 259.67 370.33 294.00],,,,
58,38,[419.00 265.50 460.50 302.00],,,,
59,14,[633.80 274.60 681.60 330.60],,,,
59,29,[457.80 301.80 506.20 364.60],,,,
60,14,[634.00 273.80 680.60 330.40],,,,
60,29,[453.40 301.20 503.40 365.40],,,,
61,14,[634.25 273.25 680.25 330.25],,,,
61,29,[449.00 300.20 500.60 366.20],,,,
61,42,[676.33 276.33 717.00 304.33],,,,
62,14,[634.33 272.67 679.67 330.00],,,,
62,29,[444.20 300.60 496.60 367.80],,,,
62,42,[675.75 276.50 716.75 304.50],,,,
63,29,[439.20 301.60 492.00 369.80],,,,
63,42,[675.20 276.80 716.40 304.80],,,,
64,17,[362.33 261.67 418.00 308.00],,,,
64,29,[433.80 302.00 487.80 371.60],,,,
64,42,[673.20 276.80 715.40 305.20],,,,
64,44,[498.67 221.00 596.67 340.33],,,,
65,29,[427.80 302.40 483.00 374.00],,,,
65,37,[122.00 276.00 183.00 338.00],,,,
65,42,[671.60 277.00 714.60 305.80],,,,
65,44,[496.25 221.25 595.50 342.00],,,,
66,29,[421.00 304.20 477.20 377.20],,,,
66,37,[122.00 276.00 183.00 338.00],,,,
66,42,[670.00 277.40 713.80 306.60],,,,
66,44,[493.60 221.40 594.20 343.60],,,,
67,29,[414.00 305.00 472.20 380.00],,,,
67,42,[668.20 277.60 712.80 307.60],,,,
67,44,[488.40 221.80 591.40 346.40],,,,
68,2,[697.33 266.67 821.67 381.33],"[753.0705642700195, 331.01493072509766, 794.0542449951172, 346.00254821777344]",0.7347426414489746,CA51REX2Y,0.5975379347801208
68,29,[406.40 305.80 467.20 383.00],,,,
68,42,[666.00 277.60 711.80 308.60],,,,
68,44,[483.20 222.00 588.60 349.00],,,,
69,29,[398.60 307.20 461.60 386.40],,,,
69,42,[664.60 277.80 711.40 309.80],,,,
69,44,[477.60 221.80 585.80 351.40],,,,
70,29,[390.20 309.00 455.60 389.80],,,,
70,42,[663.60 278.00 711.00 310.80],,,,
70,44,[458.40 218.00 576.20 356.80],,,,
71,29,[381.60 309.80 449.40 392.40],,,,
71,35,[254.80 261.60 344.00 324.80],,,,
71,42,[662.80 278.00 710.80 311.40],,,,
71,44,[438.40 214.00 566.00 362.20],,,,
71,47,[336.00 264.00 390.33 310.33],,,,
72,29,[372.20 311.00 442.40 395.40],,,,
72,35,[226.60 260.00 319.80 327.20],,,,
72,42,[662.25 278.00 710.75 311.75],,,,
72,47,[332.50 263.00 386.75 310.00],,,,
73,29,[362.60 311.60 435.00 397.80],,,,
73,35,[197.40 258.40 295.20 329.80],,,,
73,42,[662.33 278.00 711.00 312.00],,,,
73,47,[329.20 261.60 383.60 309.80],,,,
74,29,[352.40 312.00 427.00 400.20],,,,
74,35,[188.60 257.40 282.80 329.00],,,,
74,47,[323.00 259.80 376.60 309.20],,,,
