frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
35,22,"[632, 277, 677, 316]",,,,
35,3,"[661, 268, 776, 375]",,,,
35,2,"[509, 315, 616, 471]",,,,
36,26,"[388, 265, 436, 306]",,,,
36,22,"[632, 276, 679, 317]",,,,
36,3,"[664, 268, 780, 375]",,,,
36,2,"[514, 322, 618, 473]",,,,
37,22,"[634, 277, 681, 317]",,,,
37,3,"[667, 268, 783, 375]",,,,
37,2,"[520, 319, 623, 470]",,,,
38,33,"[502, 297, 539, 346]",,,,
38,22,"[636, 276, 683, 317]",,,,
38,3,"[670, 268, 786, 376]",,,,
38,2,"[525, 319, 629, 470]",,,,
39,34,"[386, 267, 470, 309]",,,,
39,33,"[502, 296, 540, 347]",,,,
39,22,"[637, 277, 685, 318]",,,,
39,3,"[673, 268, 789, 376]",,,,
39,2,"[528, 318, 633, 470]","[536.177996635437, 406.1160354614258, 569.2582778930664, 432.94820404052734]",0.6992543935775757,IH,0.7255507111549377
40,34,"[384, 267, 465, 309]",,,,
40,22,"[639, 278, 686, 319]",,,,
40,10,"[676, 269, 793, 377]",,,,
40,3,"[676, 269, 793, 377]",,,,
40,2,"[533, 318, 637, 470]",,,,
41,34,"[384, 269, 463, 311]",,,,
41,22,"[641, 278, 688, 319]",,,,
41,10,"[679, 268, 796, 377]",,,,
41,3,"[679, 269, 796, 377]",,,,
41,2,"[534, 319, 639, 471]",,,,
42,38,"[505, 301, 541, 352]",,,,
42,22,"[642, 278, 690, 320]",,,,
42,3,"[682, 268, 800, 378]",,,,
42,2,"[536, 319, 641, 471]",,,,
43,39,"[317, 293, 353, 332]",,,,
43,38,"[505, 301, 541, 353]",,,,
43,22,"[644, 278, 692, 320]",,,,
43,3,"[686, 268, 804, 378]",,,,
43,2,"[540, 318, 645, 471]",,,,
44,39,"[317, 293, 353, 332]",,,,
44,38,"[505, 300, 542, 353]",,,,
44,31,"[257, 287, 297, 325]",,,,
44,22,"[645, 277, 694, 320]",,,,
44,3,"[689, 267, 807, 377]",,,,
44,2,"[546, 326, 648, 473]",,,,
